epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,49.7031,1.61547,1.84384,1.23885,0.63522,0.62635,0.61957,0.37857,1.3829,1.45189,1.0976,0.000166251,0.000166251,0.066916
2,95.973,1.53757,1.43835,1.17517,0.63852,0.58497,0.61379,0.34398,1.38708,1.24974,1.08806,0.000332844,0.000332844,0.0337493
3,141.463,1.54256,1.43205,1.17956,0.68165,0.55417,0.63306,0.31849,1.4063,1.18797,1.11199,0.000499141,0.000499141,0.000582266
4,187.071,1.49028,1.33001,1.15895,0.67712,0.67119,0.67956,0.3902,1.32945,1.0948,1.06114,0.000499001,0.000499001,0.000499001
5,232.634,1.4791,1.31658,1.13906,0.679,0.48696,0.54144,0.30844,1.36243,1.27673,1.07464,0.000498226,0.000498226,0.000498226
6,278.096,1.44441,1.25732,1.12517,0.70988,0.66281,0.71517,0.41934,1.30815,1.03559,1.03453,0.00049723,0.00049723,0.00049723
7,323.778,1.43467,1.22293,1.117,0.7021,0.62543,0.70024,0.37446,1.34756,1.05822,1.04729,0.000496015,0.000496015,0.000496015
8,369.439,1.39553,1.20828,1.1089,0.73628,0.70136,0.73427,0.45166,1.27581,1.03034,1.03558,0.000494581,0.000494581,0.000494581
9,415.246,1.40365,1.19414,1.10929,0.76806,0.65561,0.74479,0.44815,1.28294,1.01843,1.03,0.000492931,0.000492931,0.000492931
10,460.645,1.40554,1.17253,1.09268,0.77633,0.66909,0.74457,0.48579,1.24653,0.98429,1.01486,0.000491066,0.000491066,0.000491066
11,506.178,1.37129,1.13868,1.08294,0.77871,0.6923,0.76272,0.48965,1.23077,0.93487,1.00686,0.000488988,0.000488988,0.000488988
12,551.518,1.36775,1.12875,1.08888,0.77238,0.68621,0.75014,0.47275,1.2202,0.92604,1.01018,0.000486698,0.000486698,0.000486698
13,596.846,1.36127,1.09956,1.08532,0.77383,0.73529,0.76558,0.4891,1.22771,0.95359,1.00217,0.0004842,0.0004842,0.0004842
14,642.281,1.3593,1.14301,1.08579,0.743,0.71464,0.75133,0.4906,1.22485,0.95151,1.00872,0.000481495,0.000481495,0.000481495
15,687.62,1.35122,1.08312,1.08109,0.79264,0.73286,0.77635,0.50928,1.19144,0.93145,0.98331,0.000478586,0.000478586,0.000478586
16,733.117,1.34008,1.07748,1.0715,0.77945,0.75216,0.78126,0.52792,1.20171,0.89396,0.99638,0.000475476,0.000475476,0.000475476
17,778.611,1.31017,1.05034,1.05694,0.74459,0.74832,0.77236,0.48238,1.22059,0.94615,0.9975,0.000472169,0.000472169,0.000472169
18,824.009,1.31392,1.05092,1.06585,0.84905,0.73542,0.80209,0.54146,1.17828,0.86992,0.98632,0.000468667,0.000468667,0.000468667
19,869.375,1.31144,1.03786,1.06151,0.81711,0.71111,0.78316,0.52278,1.18516,0.90017,0.98675,0.000464974,0.000464974,0.000464974
20,914.733,1.31704,1.0539,1.06622,0.781,0.721,0.7791,0.52226,1.18362,0.88404,0.97673,0.000461093,0.000461093,0.000461093
21,960.006,1.27857,1.00521,1.04725,0.82701,0.73483,0.78161,0.51432,1.17653,0.88522,0.97872,0.000457029,0.000457029,0.000457029
22,1005.33,1.28035,1.00905,1.04967,0.82735,0.72702,0.79375,0.54158,1.16668,0.84638,0.98358,0.000452785,0.000452785,0.000452785
23,1050.82,1.27102,1.0066,1.05019,0.81788,0.7373,0.79952,0.55842,1.17131,0.85152,0.98095,0.000448365,0.000448365,0.000448365
24,1096.27,1.29088,0.99518,1.04859,0.7187,0.71157,0.75348,0.49772,1.19831,0.87075,0.99082,0.000443775,0.000443775,0.000443775
25,1141.75,1.27585,0.97815,1.04604,0.78587,0.74095,0.78231,0.54359,1.14866,0.83062,0.96688,0.000439018,0.000439018,0.000439018
26,1187.21,1.24778,0.97116,1.03136,0.79925,0.76139,0.79967,0.55064,1.16315,0.82581,0.96775,0.000434099,0.000434099,0.000434099
27,1232.69,1.25951,0.9757,1.03949,0.82716,0.74949,0.80722,0.5669,1.13429,0.80061,0.96444,0.000429023,0.000429023,0.000429023
28,1278.23,1.2432,0.95682,1.03649,0.78431,0.76772,0.79833,0.55146,1.15592,0.82662,0.97852,0.000423795,0.000423795,0.000423795
29,1323.78,1.23307,0.93891,1.02925,0.81774,0.74068,0.79908,0.53025,1.1495,0.81793,0.97378,0.00041842,0.00041842,0.00041842
30,1369.29,1.25608,0.96475,1.03772,0.79951,0.74435,0.79493,0.55321,1.1261,0.82625,0.96385,0.000412904,0.000412904,0.000412904
31,1415.07,1.22655,0.9358,1.02464,0.81633,0.72448,0.79247,0.54826,1.13732,0.82885,0.96114,0.000407252,0.000407252,0.000407252
32,1460.5,1.23072,0.93817,1.0327,0.83434,0.7322,0.79631,0.54284,1.13946,0.81342,0.96688,0.000401469,0.000401469,0.000401469
33,1506.04,1.21071,0.92124,1.01613,0.8196,0.75279,0.79978,0.56886,1.11845,0.81162,0.96175,0.000395561,0.000395561,0.000395561
34,1551.57,1.21386,0.92045,1.02142,0.83529,0.7687,0.81525,0.56498,1.13532,0.78537,0.96834,0.000389534,0.000389534,0.000389534
35,1596.98,1.21525,0.90179,1.01474,0.85747,0.7361,0.8103,0.57186,1.1239,0.79091,0.95318,0.000383395,0.000383395,0.000383395
36,1642.49,1.21722,0.9136,1.01671,0.82345,0.76677,0.80993,0.57338,1.12474,0.79811,0.96287,0.000377148,0.000377148,0.000377148
37,1687.97,1.20582,0.89557,1.02078,0.84354,0.74849,0.81746,0.57526,1.11323,0.79612,0.95546,0.0003708,0.0003708,0.0003708
38,1733.42,1.19679,0.90339,1.01766,0.84624,0.75329,0.82137,0.56805,1.10616,0.78065,0.95577,0.000364358,0.000364358,0.000364358
39,1778.86,1.19108,0.87804,1.01033,0.84749,0.76509,0.82663,0.58557,1.1017,0.76723,0.95884,0.000357828,0.000357828,0.000357828
40,1824.33,1.18411,0.88777,1.0146,0.8142,0.76501,0.81705,0.57454,1.11613,0.75823,0.95702,0.000351216,0.000351216,0.000351216
41,1869.92,1.16871,0.86718,1.01135,0.79305,0.7812,0.82448,0.5807,1.11057,0.75493,0.95114,0.000344529,0.000344529,0.000344529
42,1915.38,1.18649,0.89377,1.01849,0.8588,0.77337,0.83131,0.59093,1.09168,0.75304,0.95173,0.000337773,0.000337773,0.000337773
43,1960.92,1.17983,0.86242,1.00407,0.86114,0.77439,0.82747,0.57561,1.0857,0.74694,0.94363,0.000330955,0.000330955,0.000330955
44,2006.37,1.17089,0.8717,1.0112,0.8165,0.76647,0.82617,0.59366,1.08411,0.76314,0.94698,0.000324082,0.000324082,0.000324082
45,2051.89,1.15692,0.83356,0.9917,0.8366,0.78211,0.82158,0.57659,1.10021,0.75709,0.94953,0.000317161,0.000317161,0.000317161
46,2097.32,1.17445,0.85665,1.00128,0.85024,0.76133,0.82,0.5912,1.08413,0.74516,0.94435,0.000310198,0.000310198,0.000310198
47,2142.89,1.15084,0.84559,1.00303,0.84317,0.75897,0.81872,0.58319,1.08936,0.75323,0.94492,0.0003032,0.0003032,0.0003032
48,2188.38,1.148,0.83545,0.99645,0.83163,0.76704,0.8181,0.58174,1.09043,0.74608,0.94845,0.000296174,0.000296174,0.000296174
49,2233.85,1.14516,0.83058,0.99896,0.85723,0.74605,0.82549,0.5765,1.08531,0.73609,0.94867,0.000289128,0.000289128,0.000289128
50,2279.2,1.14057,0.81796,0.99058,0.81221,0.77994,0.82315,0.58538,1.09267,0.74184,0.94667,0.000282067,0.000282067,0.000282067
51,2324.68,1.15598,0.83337,0.99798,0.85467,0.74801,0.82658,0.58355,1.09994,0.75011,0.96004,0.000275,0.000275,0.000275
52,2370.23,1.14653,0.81783,0.99234,0.85046,0.77325,0.83216,0.58723,1.08715,0.73858,0.94985,0.000267933,0.000267933,0.000267933
53,2415.66,1.13557,0.82108,0.99344,0.85139,0.77009,0.82824,0.5868,1.08315,0.73681,0.94682,0.000260872,0.000260872,0.000260872
54,2461.08,1.12373,0.79471,0.98724,0.84536,0.76995,0.83289,0.60366,1.06075,0.7261,0.93567,0.000253826,0.000253826,0.000253826
55,2506.55,1.12685,0.80622,0.98496,0.8338,0.78704,0.83174,0.605,1.06749,0.72117,0.93948,0.0002468,0.0002468,0.0002468
56,2552.17,1.14458,0.81424,0.99057,0.85551,0.7608,0.82795,0.59877,1.06848,0.72015,0.94329,0.000239802,0.000239802,0.000239802
57,2597.59,1.11595,0.78422,0.98004,0.85399,0.77211,0.82539,0.60378,1.06088,0.7133,0.94003,0.000232839,0.000232839,0.000232839
58,2643.01,1.1116,0.78703,0.9807,0.83041,0.77295,0.83401,0.59634,1.06476,0.71016,0.93706,0.000225918,0.000225918,0.000225918
59,2688.39,1.11256,0.77524,0.97835,0.86273,0.77183,0.82732,0.59287,1.07734,0.71705,0.94711,0.000219045,0.000219045,0.000219045
60,2733.84,1.10994,0.78373,0.98405,0.85946,0.77837,0.8266,0.58581,1.06956,0.7169,0.94654,0.000212227,0.000212227,0.000212227
61,2779.31,1.10902,0.77834,0.97924,0.84608,0.76544,0.82098,0.5869,1.08072,0.72497,0.94632,0.000205471,0.000205471,0.000205471
62,2824.81,1.10819,0.76954,0.97648,0.82921,0.78234,0.82631,0.60109,1.05014,0.71137,0.93349,0.000198784,0.000198784,0.000198784
63,2870.33,1.09958,0.77088,0.97923,0.83257,0.79135,0.83568,0.60395,1.05859,0.7117,0.94248,0.000192172,0.000192172,0.000192172
64,2915.88,1.09432,0.75897,0.97009,0.85652,0.77979,0.83943,0.58985,1.06845,0.70825,0.9483,0.000185642,0.000185642,0.000185642
65,2961.34,1.0753,0.7609,0.9787,0.85433,0.7754,0.83664,0.60791,1.04973,0.69881,0.93451,0.0001792,0.0001792,0.0001792
66,3006.96,1.08177,0.74809,0.97089,0.83993,0.78451,0.8308,0.60557,1.05245,0.70507,0.93192,0.000172852,0.000172852,0.000172852
67,3052.46,1.08536,0.75251,0.97417,0.82294,0.7851,0.83102,0.61077,1.04413,0.69336,0.93281,0.000166605,0.000166605,0.000166605
68,3098.01,1.075,0.7426,0.96633,0.86274,0.77157,0.83528,0.61465,1.03961,0.6987,0.92837,0.000160466,0.000160466,0.000160466
69,3145.89,1.07686,0.7409,0.96677,0.84443,0.7783,0.83622,0.60449,1.04954,0.70155,0.93624,0.000154439,0.000154439,0.000154439
