epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.4083,0.80376,1.56235,0.90911,0.93685,0.7673,0.8533,0.69586,0.64534,0.67832,0.84096,0.00016523,0.00016523,0.0671193
2,29.3368,0.72167,0.73657,0.87112,0.89827,0.80603,0.84568,0.69974,0.60341,0.69436,0.83199,0.000331823,0.000331823,0.0339525
3,43.4256,0.65612,0.65326,0.86368,0.77182,0.80603,0.81645,0.68756,0.56325,0.88837,0.83602,0.000498121,0.000498121,0.000785477
4,57.0846,0.63188,0.63021,0.85716,0.90557,0.82671,0.8689,0.73391,0.55383,0.59582,0.84338,0.000499001,0.000499001,0.000499001
