epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,48.8342,1.6013,1.85487,1.22828,0.62665,0.44038,0.50053,0.30632,1.37908,1.39507,1.13491,0.000166251,0.000166251,0.066916
2,95.2258,1.56282,1.44674,1.17929,0.67282,0.56816,0.66123,0.35085,1.40328,1.33189,1.16257,0.000332844,0.000332844,0.0337493
3,141.288,1.5381,1.37807,1.15776,0.64676,0.66085,0.66028,0.41802,1.36698,1.26358,1.09497,0.000499141,0.000499141,0.000582266
4,187.282,1.5373,1.36192,1.1575,0.65224,0.56831,0.6539,0.42041,1.34624,1.14193,1.0681,0.000499001,0.000499001,0.000499001
5,233.464,1.51188,1.31348,1.14207,0.69049,0.60328,0.69343,0.44846,1.27289,1.09668,1.04181,0.000498226,0.000498226,0.000498226
6,279.392,1.46662,1.26548,1.13342,0.74371,0.6413,0.69929,0.46044,1.28963,1.09309,1.05809,0.00049723,0.00049723,0.00049723
7,325.396,1.45637,1.24233,1.12536,0.73485,0.6598,0.69793,0.45217,1.28051,1.06759,1.05006,0.000496015,0.000496015,0.000496015
8,371.962,1.431,1.19312,1.10962,0.71127,0.67477,0.71952,0.49332,1.23657,1.02497,1.03213,0.000494581,0.000494581,0.000494581
9,418.817,1.41686,1.19204,1.10821,0.77778,0.67182,0.7534,0.48307,1.24645,1.00028,1.03579,0.000492931,0.000492931,0.000492931
10,464.598,1.39909,1.17172,1.0986,0.76611,0.72995,0.76156,0.51922,1.22431,0.98777,1.02119,0.000491066,0.000491066,0.000491066
11,510.472,1.39483,1.16155,1.10226,0.82065,0.69191,0.78951,0.54279,1.19206,0.95252,1.01652,0.000488988,0.000488988,0.000488988
12,556.246,1.37923,1.12089,1.08595,0.80967,0.70848,0.79229,0.54577,1.18119,0.90007,1.01027,0.000486698,0.000486698,0.000486698
13,602.108,1.37169,1.12535,1.09061,0.80771,0.73673,0.79276,0.53893,1.18264,0.92232,1.00451,0.0004842,0.0004842,0.0004842
14,647.879,1.36924,1.0896,1.08111,0.7952,0.73853,0.78804,0.52818,1.16673,0.9231,1.00168,0.000481495,0.000481495,0.000481495
15,694.253,1.36605,1.09707,1.07908,0.76702,0.73257,0.78196,0.5512,1.15777,0.89678,0.98751,0.000478586,0.000478586,0.000478586
16,740.407,1.3698,1.08651,1.07719,0.80322,0.73987,0.79,0.52979,1.18222,0.90829,1.01017,0.000475476,0.000475476,0.000475476
17,786.245,1.32723,1.04838,1.06172,0.82292,0.75595,0.80314,0.55871,1.15084,0.88117,0.98357,0.000472169,0.000472169,0.000472169
18,831.984,1.32069,1.05117,1.06882,0.7698,0.74262,0.79379,0.55947,1.13658,0.86268,0.99455,0.000468667,0.000468667,0.000468667
19,877.852,1.31686,1.04112,1.06148,0.82436,0.71031,0.79777,0.56403,1.13172,0.85873,0.98979,0.000464974,0.000464974,0.000464974
20,923.739,1.30204,1.02967,1.05433,0.79784,0.75331,0.80451,0.56909,1.14284,0.86743,0.98711,0.000461093,0.000461093,0.000461093
21,969.542,1.29577,1.00942,1.05052,0.79575,0.71463,0.78701,0.55515,1.15214,0.87025,0.99378,0.000457029,0.000457029,0.000457029
22,1015.27,1.29621,0.99587,1.04499,0.79406,0.73687,0.80157,0.5632,1.1156,0.84561,0.97574,0.000452785,0.000452785,0.000452785
23,1060.96,1.29626,1.01245,1.05084,0.80053,0.73024,0.79287,0.56677,1.13085,0.84057,0.98259,0.000448365,0.000448365,0.000448365
24,1106.78,1.30135,0.99947,1.05282,0.7902,0.72452,0.79552,0.55687,1.13889,0.84182,0.9892,0.000443775,0.000443775,0.000443775
25,1152.55,1.28993,0.98651,1.04164,0.77044,0.74861,0.80399,0.55262,1.14211,0.83614,0.99422,0.000439018,0.000439018,0.000439018
26,1198.28,1.26981,0.96553,1.04028,0.81159,0.74949,0.81585,0.57909,1.11815,0.81534,0.97663,0.000434099,0.000434099,0.000434099
27,1244.18,1.27387,0.97701,1.03971,0.87279,0.74268,0.81921,0.56164,1.13222,0.80659,0.99454,0.000429023,0.000429023,0.000429023
28,1290.14,1.27983,0.95838,1.0399,0.84257,0.7439,0.81171,0.58068,1.11711,0.81499,0.97644,0.000423795,0.000423795,0.000423795
29,1336,1.27279,0.95565,1.0325,0.8466,0.73217,0.81438,0.59277,1.12154,0.8154,0.98178,0.00041842,0.00041842,0.00041842
30,1381.84,1.25718,0.95564,1.03501,0.84031,0.76005,0.81768,0.59321,1.10291,0.79633,0.97456,0.000412904,0.000412904,0.000412904
