epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,48.9008,1.60429,1.82406,1.2244,0.52077,0.49298,0.52795,0.30856,1.36473,1.3598,1.10019,0.000166251,0.000166251,0.066916
2,95.5059,1.58009,1.48483,1.19724,0.67564,0.59966,0.6532,0.37911,1.34713,1.23746,1.09594,0.000332844,0.000332844,0.0337493
3,141.745,1.56156,1.43223,1.17231,0.67334,0.63454,0.67988,0.41053,1.31109,1.14923,1.06622,0.000499141,0.000499141,0.000582266
4,187.803,1.53245,1.39296,1.17038,0.63073,0.66658,0.68318,0.42309,1.2635,1.07202,1.03103,0.000499001,0.000499001,0.000499001
5,233.829,1.52336,1.33672,1.15061,0.59731,0.65454,0.67506,0.42499,1.25166,1.12446,1.04944,0.000498226,0.000498226,0.000498226
6,279.844,1.48235,1.2901,1.14761,0.6977,0.64701,0.7274,0.46127,1.22771,1.02766,1.03024,0.00049723,0.00049723,0.00049723
7,325.952,1.45968,1.25765,1.1371,0.80103,0.68906,0.74992,0.47816,1.22204,1.04228,1.0315,0.000496015,0.000496015,0.000496015
8,372.045,1.4511,1.26109,1.12292,0.82017,0.71542,0.77528,0.50788,1.17911,0.93613,0.99688,0.000494581,0.000494581,0.000494581
9,418.183,1.42144,1.20152,1.11369,0.7272,0.73475,0.75067,0.49839,1.1897,0.97322,1.00966,0.000492931,0.000492931,0.000492931
10,464.15,1.41737,1.17656,1.10716,0.75675,0.72222,0.76912,0.50194,1.18613,0.94061,0.9985,0.000491066,0.000491066,0.000491066
11,510.085,1.3876,1.16796,1.09546,0.7493,0.73973,0.75381,0.4892,1.18303,0.97927,1.01124,0.000488988,0.000488988,0.000488988
12,555.899,1.39384,1.16403,1.09417,0.79998,0.70358,0.78841,0.53988,1.14069,0.91368,0.989,0.000486698,0.000486698,0.000486698
13,601.903,1.38944,1.13403,1.09589,0.80883,0.74015,0.80146,0.53507,1.12222,0.87135,0.98316,0.0004842,0.0004842,0.0004842
14,647.8,1.36964,1.10983,1.0706,0.80019,0.71115,0.77973,0.52126,1.1372,0.88838,0.97856,0.000481495,0.000481495,0.000481495
15,693.668,1.36584,1.1284,1.08319,0.81038,0.7246,0.7752,0.50583,1.14418,0.89394,0.9968,0.000478586,0.000478586,0.000478586
16,739.483,1.34525,1.08304,1.06319,0.82796,0.69852,0.78136,0.51892,1.13568,0.87847,0.98867,0.000475476,0.000475476,0.000475476
17,785.525,1.33963,1.08014,1.06397,0.79346,0.74397,0.79108,0.51952,1.13097,0.88273,0.97858,0.000472169,0.000472169,0.000472169
18,831.456,1.32474,1.058,1.05854,0.77664,0.72818,0.78672,0.54408,1.10906,0.85853,0.96606,0.000468667,0.000468667,0.000468667
19,877.588,1.32261,1.07392,1.06613,0.83537,0.72116,0.80103,0.48374,1.13191,0.8469,0.98354,0.000464974,0.000464974,0.000464974
20,923.518,1.32721,1.0717,1.06565,0.78428,0.7269,0.76318,0.5161,1.09357,0.83757,0.9701,0.000461093,0.000461093,0.000461093
21,969.403,1.31083,1.03503,1.06517,0.772,0.73771,0.7804,0.53664,1.11294,0.83363,0.96897,0.000457029,0.000457029,0.000457029
22,1015.42,1.2931,1.02753,1.05113,0.82443,0.75035,0.81825,0.5595,1.09312,0.79686,0.95866,0.000452785,0.000452785,0.000452785
23,1061.45,1.29309,1.01555,1.05177,0.76845,0.73902,0.79158,0.55902,1.08765,0.81485,0.9641,0.000448365,0.000448365,0.000448365
24,1107.33,1.29874,0.99934,1.0484,0.7909,0.76634,0.80211,0.55024,1.09184,0.81118,0.96359,0.000443775,0.000443775,0.000443775
25,1153.35,1.28361,1.00473,1.04502,0.84027,0.73174,0.80759,0.57298,1.06787,0.79433,0.95581,0.000439018,0.000439018,0.000439018
26,1199.47,1.28249,0.98945,1.04102,0.81945,0.75188,0.80648,0.55357,1.08494,0.80949,0.96225,0.000434099,0.000434099,0.000434099
27,1245.28,1.26268,0.97228,1.03227,0.85176,0.7518,0.81013,0.5585,1.08052,0.78528,0.96573,0.000429023,0.000429023,0.000429023
28,1291.23,1.27341,0.98157,1.042,0.78349,0.77142,0.81217,0.54755,1.08361,0.79374,0.9634,0.000423795,0.000423795,0.000423795
