epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,110.299,1.62489,1.83416,1.23125,0.72973,0.5678,0.62347,0.32616,1.50247,1.39612,1.14746,0.000166251,0.000166251,0.066916
2,156.543,1.54575,1.44333,1.17424,0.66035,0.5822,0.60636,0.35407,1.41082,1.2705,1.07963,0.000332844,0.000332844,0.0337493
3,202.358,1.52473,1.39223,1.16688,0.65607,0.62385,0.65962,0.41201,1.35403,1.2441,1.06855,0.000499141,0.000499141,0.000582266
4,247.909,1.492,1.33327,1.15215,0.70365,0.59185,0.67529,0.42838,1.36143,1.1307,1.06577,0.000499001,0.000499001,0.000499001
5,293.495,1.47529,1.30119,1.12874,0.69903,0.69308,0.71516,0.44596,1.33934,1.12867,1.07457,0.000498226,0.000498226,0.000498226
6,339.134,1.44128,1.26315,1.12698,0.73886,0.639,0.72858,0.46133,1.3033,1.10811,1.0433,0.00049723,0.00049723,0.00049723
7,384.791,1.41982,1.22989,1.10888,0.74902,0.67618,0.73878,0.46173,1.30489,1.04,1.0364,0.000496015,0.000496015,0.000496015
8,430.439,1.41658,1.19643,1.11085,0.7702,0.68056,0.7509,0.48005,1.28129,1.03305,1.03715,0.000494581,0.000494581,0.000494581
9,476.102,1.41763,1.20151,1.10247,0.78976,0.67539,0.75759,0.50357,1.27054,0.99236,1.02394,0.000492931,0.000492931,0.000492931
10,521.706,1.37914,1.16632,1.09593,0.81184,0.69111,0.77044,0.48885,1.27987,0.99465,1.02871,0.000491066,0.000491066,0.000491066
11,567.152,1.36826,1.13858,1.0872,0.73499,0.72454,0.74657,0.47683,1.25339,0.96729,1.02763,0.000488988,0.000488988,0.000488988
12,612.619,1.37631,1.13538,1.087,0.78427,0.69759,0.76521,0.49779,1.26876,1.01372,1.02597,0.000486698,0.000486698,0.000486698
